artist,album
Air,Moon Safari
Faith No More,Album of the Year
Tori Amos,Little Earthquakes
Nelly Furtado,The Best of Nelly Furtado
Carole King,Tapestry
Bee Gees,Timeless - The All-Time Greatest Hits
Deftones,Deftones
Mark Lanegan,Bubblegum
System Of A Down,Steal This Album!
Grant Green,Green Is Beautiful
System Of A Down,Toxicity
Buckethead,Enter The Chicken
The White Stripes,Get Behind Me Satan
Elliott Smith,From A Basement On The Hill
J.J. Cale,Naturally
Oasis,Morning Glory?
Daft Punk,Random Access Memories
Daft Punk,Homework
Daft Punk,Discovery
The Flaming Lips,Yoshimi Battles The Pink Robots
The Beach Boys,Pet Sounds
The Smiths,"Strangeways, Here We Come"
Moderat,Moderat
The Brian Jonestown Massacre,Tepid Peppermint Wonderland - A Retrospective
Boards of Canada,The Campfire Headphase
Mobb Deep,The Infamous
Kavinsky,OutRun
Kendrick Lamar,Section.80
Death From Above 1979,"You're A Woman, I'm A Machine"
Talk Talk,The Colour Of Spring
Pink Floyd,The Wall
Alice In Chains,Alice In Chains
Otis Redding,Dock Of The Bay
Portishead,Dummy
Squarepusher,Hard Normal Daddy
Vincent Tempera & Orchestra,Kill Bill Vol. 1 Original Soundtrack
Red Hot Chili Peppers,By The Way
The War On Drugs,Lost In The Dream
Nas,The Lost Tapes
Arcade Fire,The Suburbs
GZA,Liquid Swords
BadBadNotGood,III
Bone Thugs-N-Harmony,Creepin on Ah Come Up
R̦yksopp,Melody A.M.
Sparklehorse,Vivadixiesubmarinetransmissionplot
Blur,Modern Life Is Rubbish
Neil Young,Harvest
Mastodon,Once More 'Round The Sun
Radiohead,Pablo Honey
Madensuyu,A Field Between
Caribou,Swim
Wilco,Sky Blue Sky
Mad Season,Above
Justice,Cross
Coldplay,Parachutes
Duran Duran,Duran Duran
MGMT,Oracular Spectacular
Porno for Pyros,Porno For Pyros
The Raconteurs,Broken Boy Soldiers
John Frusciante,Curtains
Nick Drake,Pink Moon
Regina Spektor,Far
Jonny Greenwood,There Will Be Blood
PJ Harvey,Uh Huh Her
James Holden,The Inheritors
Paul Kalkbrenner,Berlin Calling
dEUS,Pocket Revolution
The Stone Roses,The Stone Roses
